"","acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","ph","sulphates","alcohol","quality","tipo"
"852",7.86,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2,7,"blanco"
"853",8.46,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,6,"blanco"
"854",6.45,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,5,"blanco"
"855",6.26,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5,"blanco"
"856",7.99,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5,"blanco"
"857",7.17,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,5,"blanco"
"858",7.28,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,6,"blanco"
"859",8.44,0.26,1.5,0.049,56,189,0.9946,3.21,0.62,9.5,6,"blanco"
"860",8.8,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7,"blanco"
"861",6.99,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,8,"blanco"
"862",7.79,0.38,10.6,0.06,48,174,0.9962,3.13,0.38,10.5,6,"blanco"
"863",7.14,0.74,2.8,0.088,23,185,0.9928,3.51,0.7,12,6,"blanco"
"864",6.35,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6,"blanco"
"865",6.74,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,6,"blanco"
"866",8.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4,"blanco"
"867",7.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7,"blanco"
"868",6.9,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4,"blanco"
"869",7.3,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6,"blanco"
"870",6.54,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,6,"blanco"
"871",7.4,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6,"blanco"
"872",8.54,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3,"blanco"
"873",8.97,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6,"blanco"
"874",7.67,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5,"blanco"
"875",7.57,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,5,"blanco"
"876",7.25,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,7,"blanco"
"877",7.67,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5,"blanco"
"878",8.88,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,4,"blanco"
"879",7.975,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5,"blanco"
"880",7.79,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4,"blanco"
"881",7.83,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,5,"blanco"
"882",7.41,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,7,"blanco"
"883",7.45,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,5,"blanco"
"884",6.69,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5,"blanco"
"885",7.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5,"blanco"
"886",8.7,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,5,"blanco"
"887",6.47,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6,"blanco"
"888",7.54,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,5,"blanco"
"889",7.11,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,6,"blanco"
"890",7.89,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5,"blanco"
"891",9.69,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,4,"blanco"
"892",8.86,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5,"blanco"
"893",7.71,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6,"blanco"
"894",7.71,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5,"blanco"
"895",5.6,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,4,"blanco"
"896",8.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6,7,"blanco"
"897",7.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,5,"blanco"
"898",6.96,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,5,"blanco"
"899",6.96,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5,5,"blanco"
"900",8.36,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,6,"blanco"
"901",8.52,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5,"blanco"
"902",6.7,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6,"blanco"
"903",7.69,0.34,2.6,0.037,33,125,0.9923,3.1,0.49,11.1,7,"blanco"
"904",9.13,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,7,"blanco"
"905",7.1,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,6,"blanco"
"906",8.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,7,"blanco"
"907",8.49,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7,"blanco"
"908",8.04,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,5,"blanco"
"909",6.75,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,6,"blanco"
"910",6.8,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,7,"blanco"
"911",7.78,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6,"blanco"
"912",8.06,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,5,"blanco"
"913",6.76,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,5,"blanco"
"914",6.64,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,6,"blanco"
"915",6.95,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,7,"blanco"
"916",6.57,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,"blanco"
"917",7.6,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6,"blanco"
"918",6.53,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7,"blanco"
"919",7.61,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5,"blanco"
"920",5.44,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8,"blanco"
"921",7.24,0.32,1.3,0.037,39,123,0.992,3.17,0.42,11.2,8,"blanco"
"922",7.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,7,"blanco"
"923",8.51,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,6,"blanco"
"924",7.41,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,6,"blanco"
"925",7.31,0.4,1.2,0.069,24,156,0.9928,3.42,0.43,10.6,6,"blanco"
"926",8.57,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7,"blanco"
"927",7.64,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,5,"blanco"
"928",5.54,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,8,"blanco"
"929",6.78,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6,"blanco"
"930",6.79,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,6,"blanco"
"931",6.09,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,7,"blanco"
"932",6.47,0.42,2.8,0.028,45,107,0.9908,3.27,0.43,11.8,6,"blanco"
"933",6.46,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,5,"blanco"
"934",8.19,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,5,"blanco"
"935",5.82,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5,7,"blanco"
"936",7.57,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7,"blanco"
"937",6.39,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,7,"blanco"
"938",9.42,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,4,"blanco"
"939",8.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,6,"blanco"
"940",6.72,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,6,"blanco"
"941",7.58,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,5,"blanco"
"942",7.02,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,4,"blanco"
"943",7.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4,8,"blanco"
"944",6.315,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,"blanco"
"945",8.55,0.34,8.3,0.037,33,216,0.9976,3.31,0.64,9.7,5,"blanco"
"946",6.215,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,"blanco"
"947",6.9,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,5,"blanco"
"948",6.805,0.32,12.4,0.051,34,106,0.998,3.54,0.45,9.2,6,"blanco"
"949",6.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,6,"blanco"
"950",6.85,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,7,"blanco"
"951",10.16,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5,"blanco"
"952",9.83,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5,"blanco"
"953",6.85,0.45,13,0.047,33,182,0.9974,3.2,0.46,9.2,6,"blanco"
"954",6.615,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,7,"blanco"
"955",6.525,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,7,"blanco"
"956",5.8,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5,"blanco"
"957",8.15,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8,7,"blanco"
"958",7.1,0.28,1.2,0.048,36,159,0.9936,3.19,0.43,9.1,6,"blanco"
"959",7.13,0.34,4,0.047,24,128,0.9944,3.2,0.52,9.7,6,"blanco"
"960",7.19,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,5,"blanco"
"961",8.92,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,5,"blanco"
"962",7.81,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,5,"blanco"
"963",6.95,0.34,12.85,0.048,30,161,0.9986,3.44,0.47,9.5,6,"blanco"
"964",6.26,0.42,5.2,0.027,70,178,0.9914,3.4,0.4,12.3,8,"blanco"
"965",6.41,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,8,"blanco"
"966",9.48,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5,"blanco"
"967",9.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5,"blanco"
"968",8.66,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,6,"blanco"
"969",9.64,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,5,"blanco"
"970",7.44,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,5,"blanco"
"971",7.45,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5,"blanco"
"972",7.12,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5,"blanco"
"973",9.37,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,5,"blanco"
"974",9.24,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,5,"blanco"
"975",7.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,6,"blanco"
"976",6.95,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5,"blanco"
"977",7.22,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,5,"blanco"
"978",6.7,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4,"blanco"
"979",5.695,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,6,"blanco"
"980",8.06,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,4,"blanco"
"981",7.93,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,4,"blanco"
"982",8.1,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,"blanco"
"983",5.96,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6,"blanco"
"984",7.64,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6,"blanco"
"985",6.85,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,7,"blanco"
"986",8.43,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6,"blanco"
"987",6.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5,"blanco"
"988",6.55,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,5,"blanco"
"989",7.63,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,6,"blanco"
"990",7.4,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5,"blanco"
"991",7.95,0.43,4.5,0.062,20,115,0.9966,3.38,0.5,9.9,6,"blanco"
"992",8.81,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5,"blanco"
"993",7.81,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6,"blanco"
"994",7.62,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,"blanco"
"995",7.46,0.26,12.7,0.036,49,214,0.9986,3.41,0.5,10,6,"blanco"
"996",6.65,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,5,"blanco"
"997",6.62,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,7,"blanco"
"998",7.05,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6,"blanco"
"999",10.24,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2,5,"blanco"
"1000",7.4,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5,"blanco"
"1001",7.92,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,6,"blanco"
"1002",6.66,0.3,2.2,0.025,33,134,0.992,3.21,0.47,10.6,6,"blanco"
"1003",8.36,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,7,"blanco"
"1004",6.91,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,5,"blanco"
"1005",7.82,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,5,"blanco"
"1006",6.81,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8,"blanco"
"1007",7.31,0.3,1.4,0.037,45,143,0.9932,3.13,0.33,9.9,6,"blanco"
"1008",7.86,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5,"blanco"
"1009",7.15,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7,"blanco"
"1010",7.36,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,"blanco"
"1011",7.52,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7,"blanco"
"1012",6.57,0.22,8.3,0.025,36,216,0.9964,3.33,0.6,9.6,6,"blanco"
"1013",8.12,0.45,14.2,0.038,53,141,0.9992,3.03,0.46,9.2,6,"blanco"
"1014",7.65,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,7,"blanco"
"1015",6.98,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,6,"blanco"
"1016",7.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7,"blanco"
"1017",6.7,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5,"blanco"
"1018",5.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,"blanco"
"1019",9.23,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4,5,"blanco"
"1020",7.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,6,"blanco"
"1021",6.51,0.4,1.7,0.031,48,134,0.9917,3.42,0.49,11.5,6,"blanco"
"1022",8.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6,"blanco"
"1023",9.48,0.41,1,0.042,14,59,0.9922,2.96,0.25,10.5,6,"blanco"
"1024",7.57,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,5,"blanco"
"1025",7.92,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,6,"blanco"
"1026",9.94,0.45,1.2,0.033,11,59,0.9926,2.74,0.47,10.8,6,"blanco"
"1027",8.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5,"blanco"
"1028",8.57,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8,"blanco"
"1029",8.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2,5,"blanco"
"1030",7.46,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,8,"blanco"
"1031",6.63,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,6,"blanco"
"1032",6.3,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,7,"blanco"
"1033",7.88,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,6,"blanco"
"1034",7.43,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7,"blanco"
"1035",7.12,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6,"blanco"
"1036",7.08,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,5,"blanco"
"1037",9.66,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,6,"blanco"
"1038",8.63,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,3,"blanco"
"1039",7.59,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,6,"blanco"
"1040",8.31,0.37,4.5,0.03,40,114,0.992,3.17,0.54,12.4,7,"blanco"
"1041",8.34,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6,7,"blanco"
"1042",8.09,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6,"blanco"
"1043",7.96,0.31,1.3,0.043,47,155,0.9937,3.42,0.5,10.1,6,"blanco"
"1044",8.12,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5,"blanco"
"1045",7.54,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5,"blanco"
"1046",7.54,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7,"blanco"
"1047",10.55,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5,"blanco"
"1048",8.04,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,6,"blanco"
"1049",7.58,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,7,"blanco"
"1050",8.53,0.42,6.6,0.033,36,141,0.9918,2.98,0.39,13.3,7,"blanco"
"1051",6.66,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5,"blanco"
"1052",8.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4,4,"blanco"
"1053",8.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7,"blanco"
"1054",7.41,0.34,1.1,0.046,25,80,0.992,3.25,0.4,11.3,6,"blanco"
"1055",7.38,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,7,"blanco"
"1056",8.97,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4,5,"blanco"
"1057",5.56,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,7,"blanco"
"1058",5.945,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5,"blanco"
"1059",5.845,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,6,"blanco"
"1060",7.55,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,7,"blanco"
"1061",7.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5,"blanco"
"1062",6.62,0.34,1.8,0.057,29,104,0.9959,3.81,0.57,10.3,6,"blanco"
"1063",7.48,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6,"blanco"
"1064",6.57,0.27,6.7,0.036,88,223,0.9948,3.28,0.35,10.2,6,"blanco"
"1065",7.19,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,"blanco"
"1066",6.41,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6,"blanco"
"1067",6.63,0.3,7.1,0.037,63,236,0.9952,3.06,0.34,9.2,6,"blanco"
"1068",7.49,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,6,"blanco"
"1069",9.89,0.46,1.45,0.039,77.5,223,0.9944,2.92,0.46,9.5,6,"blanco"
"1070",7.34,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5,"blanco"
"1071",7.21,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,7,"blanco"
"1072",7.78,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8,"blanco"
"1073",8.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7,"blanco"
"1074",7.91,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5,"blanco"
"1075",8.75,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6,"blanco"
"1076",8.6,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5,"blanco"
"1077",7.39,0.31,5.3,0.169,32,162,0.9965,3.2,0.48,9.4,5,"blanco"
"1078",6.42,0.27,1.5,0.064,20,132,0.9938,3.22,0.46,9.2,6,"blanco"
"1079",7.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8,6,"blanco"
"1080",6.87,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,6,"blanco"
"1081",7.96,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6,"blanco"
"1082",7.97,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7,"blanco"
"1083",7.71,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,5,"blanco"
"1084",8.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8,"blanco"
"1085",6.76,0.29,1.8,0.05,40,147,0.9912,3.06,0.44,11.4,7,"blanco"
"1086",8.51,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7,"blanco"
"1087",7.52,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7,"blanco"
"1088",6.76,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6,"blanco"
"1089",8.56,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,6,"blanco"
"1090",7.73,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6,"blanco"
"1091",6.37,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6,"blanco"
"1092",7.29,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,4,"blanco"
"1093",7.31,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4,"blanco"
"1094",7.88,0.33,5,0.045,30,131,0.9942,3.32,0.44,10.9,6,"blanco"
"1095",7.72,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,7,"blanco"
"1096",7.64,0.39,5.2,0.04,45,163,0.9925,3.3,0.47,12.4,6,"blanco"
"1097",8.03,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,5,"blanco"
"1098",9.245,0.38,5.9,0.045,52,159,0.995,2.93,0.35,10.2,6,"blanco"
"1099",7.1,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5,"blanco"
"1100",7.59,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6,"blanco"
"1101",8.4,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,6,"blanco"
"1102",8.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,5,"blanco"
"1103",8.04,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,7,"blanco"
"1104",7.04,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8,"blanco"
"1105",9.84,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5,"blanco"
"1106",9.35,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,6,"blanco"
"1107",9.57,0.55,1.6,0.049,14,94,0.9949,3.02,0.61,10.3,6,"blanco"
"1108",5.565,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,6,"blanco"
"1109",6.53,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,6,"blanco"
"1110",9.85,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,5,"blanco"
"1111",9.52,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,5,"blanco"
"1112",6.71,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6,"blanco"
"1113",8.3,0.36,9.7,0.044,63,162,0.997,3.1,0.46,10,6,"blanco"
"1114",8.155,0.26,2,0.026,40,190,0.9932,3.04,0.39,11.2,6,"blanco"
"1115",7.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5,"blanco"
"1116",6.55,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,6,"blanco"
"1117",6.65,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5,"blanco"
"1118",7.79,0.42,1.5,0.044,6,114,0.9914,3.04,0.74,12.8,6,"blanco"
"1119",7.73,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,6,"blanco"
"1120",5.41,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,6,"blanco"
"1121",6.4,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,5,"blanco"
"1122",7.06,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6,"blanco"
"1123",8.02,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7,"blanco"
"1124",6.72,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,6,"blanco"
"1125",7.06,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6,"blanco"
"1126",5.57,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6,"blanco"
"1127",8.59,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5,"blanco"
"1128",8.51,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,5,"blanco"
"1129",6.95,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8,6,"blanco"
"1130",8.06,0.64,17,0.05,69,210,1.0004,3.15,0.51,9.3,7,"blanco"
"1131",8.01,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8,"blanco"
"1132",9.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6,"blanco"
"1133",5.91,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6,"blanco"
"1134",8.09,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8,"blanco"
"1135",6.88,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,"blanco"
"1136",8.98,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6,"blanco"
"1137",7.36,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10,6,"blanco"
"1138",8.14,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5,"blanco"
"1139",6.85,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,6,"blanco"
"1140",7.53,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8,"blanco"
"1141",7.69,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7,8,"blanco"
